index,qid1,qid2,qid2_13_text,qid8_text,qid9_text,qid5,qid5_9_text,qid50,qid50_11_text,qid53_text,qid10_1,qid10_2,qid10_3,qid10_4,qid10_5,qid13,qid15_text,qid3,qid4,qid6,qid7,qid7_9_text,qid16,qid17,qid18,qid19_text,qid20,qid21,qid21_6_text,qid22_text,qid39,qid40_text,qid41_text,qid42_text,qid54_text,qid55_text,qid56,qid56_9_text,qid23,qid24_text,qid26,qid25_text,qid27_text,qid52,qid52_3_text,qid28_1,qid28_2,qid49_text,qid38_text,qid43_nps_group,qid43,qid44_text,qid58,qid59_text,q_unansweredpercentage,q_unansweredquestions,duration_secs
82,"UPBeat Spring Concert,Spring Comedian at Severance Hall,Drone Show ","Food Festivals ,Swag/giveaway events ,Concerts or live music ",,,,"Free food/snacks,Swag (shirts, water bottles, etc.) ,Socializing/meeting new people ",,"Asian (Chinese, Japanese, Korean, Thai, etc.),African/Caribbean",,,5.0,25.0,125.0,125.0,5.0,Yes,20.0,"Weekday evening (after 6pm) ,Friday evenings,Saturday afternoons ,Saturday evenings ,Sunday afternoons ,Sunday evenings ","Huge (300-600 people),Large (80-150 people) ",Either is fine,Didn’t hear about it,,"Friday ,Saturday ,Sunday","Evening (4pm–8pm) ,Night (after 8pm)",Yes,Less available ,A week,"Email,Friends",,,Junior,Anthropology ,Chicago,,,,"Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Food and market experiences (West Side Market, Little Italy, AsiaTown)",,Yes,,No,,,,,L,L,10.5,Hoodies portable chargers fun socks,Passive,7.0,,Ninja Creami,,0.275,"QID9,QID8,QID52,QID42,QID53,QID54,QID27,QID59,QID22,QID55,QID44",315.0
83,"Food Truck Festival,T-shirt or swag giveaways,Drone Show ","Food Festivals ,Swag/giveaway events ,Major shows or performances (comedians, drone show, etc.) ",,upbroadway,food truck,"Free food/snacks,Swag (shirts, water bottles, etc.) ",,"Asian (Chinese, Japanese, Korean, Thai, etc.),Desserts/sweets focused",,mango mango te amo,0.0,20.0,500.0,500.0,0.0,Yes,50.0,Weekday late afternoon (4–6pm) ,"Gigantic (>1000 people),Huge (300-600 people),Large (80-150 people) ",Either is fine,"Didn’t hear about it,Bad timing,Required registration,Didn’t interest me",,"Friday ,Saturday ,Sunday",Evening (4pm–8pm) ,Yes,yes,A week,"Email,Friends",,email,Senior,biomedical engineering ,China,Better Chinese New Year celebrations or more asian food ,trips around the area,Chinese New Year,"Sports games (Guardians, Cavs, Browns, Monsters)",,Yes,,No,,meeting people at activities,Other:,none,M,M,9.0,stuffed animal decorations t shirt pajama pants ,Passive,7.0,more availability and wider time range to attend ,Ninja Creami,none at this moment ,0.0,,682.0
84,"Food Truck Festival,T-shirt or swag giveaways,UPBakery or other pop-up cafes (e.g., Matcha Pop-up),UPBeat Spring Concert,Drone Show ,Thwing Tuesday","Food Festivals ,Swag/giveaway events ,Concerts or live music ",,The vinyl giveaway,Any semifamous musicianartist performance plss,"Free food/snacks,Swag (shirts, water bottles, etc.) ,Live entertainment",,"Mexican/Latin (tacos, burritos, empanadas),Asian (Chinese, Japanese, Korean, Thai, etc.),African/Caribbean,Desserts/sweets focused",,Dang good foods singaporean food,5.0,5.0,500.0,200.0,5.0,Yes,500.0,"Weekday late afternoon (4–6pm) ,Weekday evening (after 6pm) ,Friday evenings,Sunday afternoons ,Sunday evenings ","Large (80-150 people) ,Medium (30-80 people),Small (<20 people)",Either is fine,"Bad timing,Too crowded,Required registration",,"Monday,Wednesday ,Friday ,Sunday","Evening (4pm–8pm) ,Night (after 8pm)",No,,A week,"Email,Posters/flyers ,Friends",,email,Sophomore,Nutritional Biochemistry,Wisconsin  raised in Shanghai,maybe just culinary culture,books vinyls food,,"Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Food and market experiences (West Side Market, Little Italy, AsiaTown),Shopping/entertainment districts (Crocker Park, Pinecrest, Legacy Village)",,Somtimes,I think the main thing that detracts me from events are the amount of people going but I also understand that its a large campus so thats really just on me,No,,yall actually do an amazing job at making me feel connected and welcome to the community i always like to boast about you guys to my friends at other schools cuz they dont have a board that helps plan so many insanely creative activities and events,,,L,XL,11.0,a cwru themed vinyl,Promoter,9.0,i really do think you guys already do a perfect job,Ninja Creami,nope,0.025,QID52,838.0
85,"T-shirt or swag giveaways,Off-campus trips (e.g., Topgolf, NBA/Cavs game, Columbus trip),UPBeat Spring Concert,Drone Show ","Swag/giveaway events ,Off-campus experiences or trips ,Major shows or performances (comedians, drone show, etc.) ",,Drone Show,Seattle Trip,"Free food/snacks,Socializing/meeting new people ,Live entertainment",,"American comfort (burgers, BBQ, wings),Mexican/Latin (tacos, burritos, empanadas),Italian (pasta, pizza, gelato),Asian (Chinese, Japanese, Korean, Thai, etc.)",,Presti,0.0,50.0,450.0,300.0,0.0,Yes,500.0,I will attend all events,No preference,Either is fine,"Didn’t hear about it,Bad timing,Too crowded,Required registration",,"Tuesday ,Thursday ,Saturday ,Sunday","Morning (8am–12pm) ,Afternoon (12pm–4pm) ,Evening (4pm–8pm) ,Night (after 8pm)",Yes,Slight changes but I would still go,A week,"Email,Social media ,Friends",,EMAIL INSTAGRAM,Junior,Chemical Engineering,Telavi Georgia The Country,,,,"Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Museums and cultural centers (Cleveland Museum of Art, Rock Hall, Natural History Museum),Food and market experiences (West Side Market, Little Italy, AsiaTown),Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park),Shopping/entertainment districts (Crocker Park, Pinecrest, Legacy Village)",,Usually,,No,,Taking Part in a lot of campus activities,,,M,M,10.0,CWRU SHOES,Detractor,6.0,,Air Fryer,,0.0975609756097561,"QID24,QID44,QID52,QID59",350.0
86,"Off-campus trips (e.g., Topgolf, NBA/Cavs game, Columbus trip)","Off-campus experiences or trips ,Sports/spectator events ,Tournaments (video games, board games, etc.) ",,I really enjoy the Cavs games especially because they are a very great team ,I want to go to more Cavs games  ,"Free food/snacks,Swag (shirts, water bottles, etc.) ,Socializing/meeting new people ",,"American comfort (burgers, BBQ, wings),Asian (Chinese, Japanese, Korean, Thai, etc.),African/Caribbean",,Bibibop La dolce Vita and tolis ,5.0,10.0,40.0,30.0,10.0,Yes,400.0,"Weekday lunchtime (12–2pm),Weekday evening (after 6pm) ",Large (80-150 people) ,Either is fine,"Didn’t hear about it,Travel time",,"Friday ,Saturday ,Sunday",Evening (4pm–8pm) ,No,,3–5 days before,"Email,Friends",,email ,Sophomore,finance ,San Diego CA USA ,Ethiopian Culture ,I would like to see more Korean events ,Ethiopian parades ,"Sports games (Guardians, Cavs, Browns, Monsters),Museums and cultural centers (Cleveland Museum of Art, Rock Hall, Natural History Museum),Food and market experiences (West Side Market, Little Italy, AsiaTown)",,Yes,,No,,police presence ,,,L,L,11.0,I really like pullovers and coffee mugs ,Promoter,10.0,Live music,Ninja Creami,This was great ,0.0256410256410256,QID52,519.0
87,"T-shirt or swag giveaways,UPBeat Spring Concert,Drone Show ","Swag/giveaway events ,Concerts or live music ,Major shows or performances (comedians, drone show, etc.) ",,,Drone show,"Swag (shirts, water bottles, etc.) ,Live entertainment",,"American comfort (burgers, BBQ, wings),Mexican/Latin (tacos, burritos, empanadas),Italian (pasta, pizza, gelato),Asian (Chinese, Japanese, Korean, Thai, etc.),Desserts/sweets focused",,,0.0,10.0,300.0,200.0,0.0,Yes,20.0,"Weekday evening (after 6pm) ,Sunday afternoons ,Sunday evenings ","Gigantic (>1000 people),Small (<20 people)",Either is fine,"Bad timing,Required registration,Event cost",,"Monday,Tuesday ,Wednesday ,Thursday ,Sunday","Afternoon (12pm–4pm) ,Evening (4pm–8pm) ,Night (after 8pm)",Yes,,A week,"Email,Social media ",,,Senior,data science ,pittsburgh,,,,"Sports games (Guardians, Cavs, Browns, Monsters),Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center)",,Yes,,No,,,,,S,M,,sweats sweatshirt tshirt,Passive,7.0,,Ninja Creami,,0.275,"QID8,QID52,QID42,QID19,QID53,QID54,QID27,QID59,QID22,QID55,QID44",241.0
88,I'm a freshman!,"Food Festivals ,Pop-up cafes (e.g., bakery, matcha) ,Concerts or live music ",,Concerts with multiple artists,I heard there was a matcha pop up last year and I would love to attend,"Free food/snacks,Socializing/meeting new people ,Performance",,"Asian (Chinese, Japanese, Korean, Thai, etc.),Indian/South Asian",,I havent been in Cleveland long enough to know the restaurants here unfortunately,5.0,15.0,50.0,50.0,0.0,Yes,,"Weekday late afternoon (4–6pm) ,Weekday evening (after 6pm) ,Saturday afternoons ,Saturday evenings ,Sunday afternoons ,Sunday evenings ",No preference,Either is fine,"Didn’t hear about it,Bad timing,Event cost",,"Friday ,Saturday ,Sunday","Evening (4pm–8pm) ,Night (after 8pm)",Yes,I would be less willing to go to events,A week,"Social media ,Posters/flyers ,Friends",,,Freshman,Nursing,San Jose CA USA,Korean,Niche interests that I could learn about,Underrepresented cultures,"Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Museums and cultural centers (Cleveland Museum of Art, Rock Hall, Natural History Museum),Food and market experiences (West Side Market, Little Italy, AsiaTown),Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park),Shopping/entertainment districts (Crocker Park, Pinecrest, Legacy Village)",,Usually,,No,,Being at events and talking to people,Other:,none,L,XL,,Plushies,,,Being able to know where and when it is ahead of time,Ninja Creami,,0.1,"QID15,QID22,QID24,QID59",624.0
89,"Food Truck Festival,T-shirt or swag giveaways,UPBakery or other pop-up cafes (e.g., Matcha Pop-up)","Swag/giveaway events ,Off-campus experiences or trips ,Concerts or live music ",,Performances by artists,Free merch,"Free food/snacks,Swag (shirts, water bottles, etc.) ,Performance",,"Mexican/Latin (tacos, burritos, empanadas),Asian (Chinese, Japanese, Korean, Thai, etc.),Indian/South Asian",,chipotle,0.0,0.0,0.0,0.0,0.0,No,,"Saturday evenings ,Sunday evenings ","Gigantic (>1000 people),Medium (30-80 people)",Either is fine,"Didn’t hear about it,Bad timing,Required registration,Event cost",,"Saturday ,Sunday","Afternoon (12pm–4pm) ,Evening (4pm–8pm) ,Night (after 8pm)",No,,A week,"Email,Social media ",,Email,Sophomore,Mechanical Engineering,Chicago,no,no,Diwali,"Sports games (Guardians, Cavs, Browns, Monsters),Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park),Shopping/entertainment districts (Crocker Park, Pinecrest, Legacy Village)",,Somtimes,more spots for events,No,,more events more free stuff,Other:,,M,L,10.0,hoodies shirts hats,Detractor,5.0,more free stuff,Ninja Creami,no,0.0,,358.0
90,"Food Truck Festival,T-shirt or swag giveaways,UPBakery or other pop-up cafes (e.g., Matcha Pop-up),Off-campus trips (e.g., Topgolf, NBA/Cavs game, Columbus trip),UPBeat Spring Concert,Spring Comedian at Severance Hall,Drone Show ,Thwing Tuesday,Club collaborations (Mahjong, Quidditch, Learn to Be, etc.) ,Arts & Crafts (e.g., Brightening Blooms, UPBling)","Swag/giveaway events ,Pop-up cafes (e.g., bakery, matcha) ,Off-campus experiences or trips ",,,Cesar point,Free food/snacks,,"Asian (Chinese, Japanese, Korean, Thai, etc.),Mediterranean/Middle Eastern (Greek, Turkish, Lebanese),Indian/South Asian,African/Caribbean,Desserts/sweets focused",,,0.0,25.0,,,,,,"Weekday lunchtime (12–2pm),Weekday late afternoon (4–6pm) ,Friday evenings,Saturday afternoons ,Sunday afternoons ","Large (80-150 people) ,Medium (30-80 people)",Either is fine,"Bad timing,Too crowded,Required registration",,"Thursday ,Friday ",Afternoon (12pm–4pm) ,Yes,,3–5 days before,"Email,Social media ,Friends",,,Sophomore,Biochemistry ,,,,,"Sports games (Guardians, Cavs, Browns, Monsters),Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Shopping/entertainment districts (Crocker Park, Pinecrest, Legacy Village)",,Yes,,,,,,,L,L,9.0,Sweatshirt functional item,Passive,7.0,,Air Fryer,,0.358974358974359,"QID8,QID52,QID41,QID42,QID19,QID53,QID13,QID54,QID27,QID59,QID22,QID55,QID26,QID44",328.0
91,"Food Truck Festival,UPBakery or other pop-up cafes (e.g., Matcha Pop-up),UPBeat Spring Concert,Spring Comedian at Severance Hall","Food Festivals ,Pop-up cafes (e.g., bakery, matcha) ,Concerts or live music ",,matcha,matcha,"Free food/snacks,Socializing/meeting new people ,Performance",,"Asian (Chinese, Japanese, Korean, Thai, etc.),Desserts/sweets focused",,,0.0,10.0,0.0,0.0,0.0,No,,"Weekday evening (after 6pm) ,Friday evenings,Saturday afternoons ,Saturday evenings ,Sunday afternoons ,Sunday evenings ",Medium (30-80 people), Require advance registration ,"Didn’t hear about it,Bad timing,Too crowded,Didn’t interest me",,"Friday ,Saturday ,Sunday","Afternoon (12pm–4pm) ,Evening (4pm–8pm) ",Yes,,A week,"Email,Social media ,Posters/flyers ",,,Sophomore,finance,nyc,lunar new year,concerts,,"Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center)",,Usually,,No,,the people,,,S,S,7.0,free tuition,Passive,7.0,,Ninja Creami,,0.175,"QID52,QID19,QID53,QID24,QID59,QID22,QID44",250.0
92,"Food Truck Festival,T-shirt or swag giveaways,UPBeat Spring Concert,Spring Comedian at Severance Hall,Drone Show ,Thwing Tuesday","Food Festivals ,Swag/giveaway events ,Pop-up cafes (e.g., bakery, matcha) ",,More food festivals,Yes the teddy bear event,"Free food/snacks,Swag (shirts, water bottles, etc.) ,Live entertainment",,"Mediterranean/Middle Eastern (Greek, Turkish, Lebanese)",,Sittos,15.0,15.0,15.0,15.0,15.0,Yes,30.0,"Weekday evening (after 6pm) ,Friday evenings,Saturday afternoons ","Huge (300-600 people),Large (80-150 people) ",Walk-in Only (First come first serve),"Didn’t hear about it,Bad timing",,"Friday ,Saturday ","Evening (4pm–8pm) ,Night (after 8pm)",Yes,It gets more busy and yes I would still be willing,A week,"Email,Social media ,Posters/flyers ",,Email,Sophomore,Biochemistry ,Columbus Ohio,Maybe middle eastern,The teddy bear one was nice maybe more cultural events,Christmas,"Museums and cultural centers (Cleveland Museum of Art, Rock Hall, Natural History Museum),Food and market experiences (West Side Market, Little Italy, AsiaTown)",,Yes,,No,,These events and socializing in them,Halal / Kosher,,L,L,,A bag,Promoter,10.0,More events without registration ,Ninja Creami,No,0.0,,2210.0
93,Spring Comedian at Severance Hall,"Food Festivals ,Off-campus experiences or trips ,Sports/spectator events ",,upbingo,Upbingo,Live entertainment,,"American comfort (burgers, BBQ, wings),Mexican/Latin (tacos, burritos, empanadas),Italian (pasta, pizza, gelato),Asian (Chinese, Japanese, Korean, Thai, etc.),Mediterranean/Middle Eastern (Greek, Turkish, Lebanese),Indian/South Asian,African/Caribbean",,Anything in Ohio city,10.0,50.0,400.0,250.0,10.0,Yes,20.0,"Weekday evening (after 6pm) ,Saturday afternoons ,Saturday evenings ,Sunday afternoons ,Sunday evenings ","Large (80-150 people) ,Medium (30-80 people)", Require advance registration ,Bad timing,,"Friday ,Saturday ,Sunday","Evening (4pm–8pm) ,Night (after 8pm)",Yes,Just some days I have exams and some nights I need to cram,Two weeks or more,Email,,Email,Senior,BME PreMed,Akron Ohio,Nah,Whatever is in budget,Nah,"Sports games (Guardians, Cavs, Browns, Monsters),Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Food and market experiences (West Side Market, Little Italy, AsiaTown),Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park),Shopping/entertainment districts (Crocker Park, Pinecrest, Legacy Village)",,Yes,,No,,People,,,M,M,8.0,Drifit short or long sleeves,Passive,7.0,Nothing You guys do great,Hatch Alarm Clock,,0.025,QID52,535.0
94,I'm a freshman!,"Pop-up cafes (e.g., bakery, matcha) ,Off-campus experiences or trips ,Concerts or live music ",,,,"Free food/snacks,Performance,Live entertainment",,"Mexican/Latin (tacos, burritos, empanadas),Asian (Chinese, Japanese, Korean, Thai, etc.),Mediterranean/Middle Eastern (Greek, Turkish, Lebanese),Indian/South Asian,Desserts/sweets focused",,,10.0,50.0,100.0,50.0,0.0,Yes,,"Weekday late afternoon (4–6pm) ,Weekday evening (after 6pm) ,Friday evenings,Saturday afternoons ,Saturday evenings ","Gigantic (>1000 people),Huge (300-600 people),Large (80-150 people) ",Either is fine,"Didn’t hear about it,Bad timing,Event cost,Didn’t interest me",,"Monday,Tuesday ,Wednesday ,Thursday ,Saturday ,Sunday","Afternoon (12pm–4pm) ,Evening (4pm–8pm) ,Night (after 8pm)",Yes,I would be busier with studying and I would be willing to go an event if it was a large one,Two weeks or more,"Email,Social media ,Posters/flyers ,Friends",,Email usually,Freshman,Medical Anthropology,Chicago Illinois,Dance and food south asianindian,Probably concerts or excursions to places outside of cleaveland,DiwaliNavaratri like garbas etc,"Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Food and market experiences (West Side Market, Little Italy, AsiaTown),Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park),Shopping/entertainment districts (Crocker Park, Pinecrest, Legacy Village)",,Yes,,No,,Events that foster culture and interests,Vegetarian,,M,M,,gift baskets tickets to concerts mini projectors air tags power banks gift cards,,,Have more variety of events I would be really interested in seeing more concerts trips speaker events and even farmers marketesque things,Ninja Creami,Not right now,0.0769230769230769,"QID53,QID8,QID9",954.0
95,"T-shirt or swag giveaways,UPBakery or other pop-up cafes (e.g., Matcha Pop-up),UPBeat Spring Concert,Thwing Tuesday","Swag/giveaway events ,Pop-up cafes (e.g., bakery, matcha) ,Major shows or performances (comedians, drone show, etc.) ",,Comedian show,UPBalls,"Free food/snacks,Swag (shirts, water bottles, etc.) ",,"Asian (Chinese, Japanese, Korean, Thai, etc.),Mediterranean/Middle Eastern (Greek, Turkish, Lebanese),Desserts/sweets focused",,Fruit stand bibibop,0.0,10.0,0.0,0.0,0.0,Yes,,"Weekday lunchtime (12–2pm),Weekday late afternoon (4–6pm) ,Weekday evening (after 6pm) ",Large (80-150 people) , Require advance registration ,"Bad timing,Too crowded,Event cost,Didn’t interest me",,"Tuesday ,Thursday ,Friday ","Afternoon (12pm–4pm) ,Evening (4pm–8pm) ",Yes,Probably wont go to many events,3–5 days before,"Social media ,Friends",,Instagram,Junior,Mechanical Engineering,Boston MA,,,Lunar New Year,"Sports games (Guardians, Cavs, Browns, Monsters),Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Food and market experiences (West Side Market, Little Italy, AsiaTown),Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park),Shopping/entertainment districts (Crocker Park, Pinecrest, Legacy Village)",,Usually,,No,,,Other:,,M,L,,Matcha set mugs hoodies food,Passive,7.0,,Ninja Creami,,0.1219512195121951,"QID42,QID54,QID27,QID59,QID44",377.0
96,"T-shirt or swag giveaways,UPBakery or other pop-up cafes (e.g., Matcha Pop-up),Drone Show ,Thwing Tuesday,Club collaborations (Mahjong, Quidditch, Learn to Be, etc.) ,Arts & Crafts (e.g., Brightening Blooms, UPBling)","Food Festivals ,Swag/giveaway events ,Off-campus experiences or trips ",,Cedar Point ,Cedar Point ,"Free food/snacks,Swag (shirts, water bottles, etc.) ,Socializing/meeting new people ",,"American comfort (burgers, BBQ, wings),Mexican/Latin (tacos, burritos, empanadas),African/Caribbean",,Blue Habenero,20.0,30.0,300.0,100.0,5.0,Yes,500.0,"Weekday evening (after 6pm) ,Friday evenings,Saturday afternoons ,Saturday evenings ,Sunday afternoons ,Sunday evenings ","Large (80-150 people) ,Medium (30-80 people)", Require advance registration ,"Bad timing,Didn’t interest me",,"Friday ,Saturday ,Sunday",Evening (4pm–8pm) ,Yes,Yes,A week,"Email,Social media ,Posters/flyers ,Friends",,Social Media,Senior,Nursing,Florida,No,No,No,"Sports games (Guardians, Cavs, Browns, Monsters),Food and market experiences (West Side Market, Little Italy, AsiaTown),Shopping/entertainment districts (Crocker Park, Pinecrest, Legacy Village)",,Yes,,No,,Food,,,M,XL,,Hoodie,Passive,8.0,Giveaays,Ninja Creami,Nope,0.025,QID52,2000.0
97,"UPBeat Spring Concert,Spring Comedian at Severance Hall,Thwing Tuesday,Club collaborations (Mahjong, Quidditch, Learn to Be, etc.) ,Arts & Crafts (e.g., Brightening Blooms, UPBling)","Swag/giveaway events ,Off-campus experiences or trips ,Major shows or performances (comedians, drone show, etc.) ",,,Spring Comedian,"Swag (shirts, water bottles, etc.) ,Socializing/meeting new people ,Live entertainment",,"American comfort (burgers, BBQ, wings),Mexican/Latin (tacos, burritos, empanadas),Italian (pasta, pizza, gelato),Asian (Chinese, Japanese, Korean, Thai, etc.),Indian/South Asian",,Hells Fried Chicken,0.0,10.0,50.0,50.0,0.0,Yes,,"Weekday lunchtime (12–2pm),Weekday evening (after 6pm) ,Friday evenings,Saturday afternoons ",No preference, Require advance registration ,"Bad timing,Event cost,Travel time",,"Monday,Wednesday ,Friday ,Saturday ","Afternoon (12pm–4pm) ,Evening (4pm–8pm) ,Night (after 8pm)",Yes,It really depends on the year and when my finals are Sometimes Im more willing to go to events since finals are far away and sometimes I cant attend anything,A week,"Email,Posters/flyers ,Friends",,Email,Junior,Computer Science,Houston TX,No,I like the events where you can go out and explore Cleveland I dont have a car so its hard to explore more of the city and its always nice to get an opportunity to do that,Humans vs Zombies,"Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Food and market experiences (West Side Market, Little Italy, AsiaTown),Shopping/entertainment districts (Crocker Park, Pinecrest, Legacy Village)",,Yes,,No,,Getting involved in a club and planning an event,Other:,,L,L,,Sweaters with funky patterns with only a little bit of branding but the design is what stands out I really like the ink drip style so maybe something like that,Detractor,6.0,They often feel really uncoordinated and nobody tells the participants whats going on Whenever something goes wrong everyone is left in the dark and confused I think you guys could communicate to attendees better,Air Fryer,,0.05,"QID59,QID8",665.0
98,"Food Truck Festival,UPBeat Spring Concert,Thwing Tuesday","Food Festivals ,Concerts or live music ,Sports/spectator events ",,upbroadway,upb x fruit stand,"Free food/snacks,Performance,Live entertainment",,"American comfort (burgers, BBQ, wings),Mexican/Latin (tacos, burritos, empanadas),Italian (pasta, pizza, gelato),Asian (Chinese, Japanese, Korean, Thai, etc.),Mediterranean/Middle Eastern (Greek, Turkish, Lebanese),Desserts/sweets focused",,roasted,0.0,0.0,0.0,0.0,0.0,No,,"Weekday lunchtime (12–2pm),Weekday late afternoon (4–6pm) ,Saturday afternoons ,Sunday afternoons ","Huge (300-600 people),Large (80-150 people) ,Medium (30-80 people)", Require advance registration ,"Bad timing,Event cost,Didn’t interest me",,"Monday,Tuesday ,Wednesday ,Thursday ,Friday ","Morning (8am–12pm) ,Afternoon (12pm–4pm) ,Evening (4pm–8pm) ",Yes,just get more busy but love the food events during finals its super helpful ,A week,"Email,Social media ,Posters/flyers ",,email,Senior,psychology,chicago,not particularly,no you guys have great,same thing you do great,"Sports games (Guardians, Cavs, Browns, Monsters),Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Food and market experiences (West Side Market, Little Italy, AsiaTown),Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park)",,Yes,,No,,,,,M,M,7.0,sweat pants,Promoter,9.0,,Ninja Creami,,0.1025641025641025,"QID27,QID44,QID52,QID59",530.0
99,"T-shirt or swag giveaways,UPBakery or other pop-up cafes (e.g., Matcha Pop-up),Arts & Crafts (e.g., Brightening Blooms, UPBling)","Food Festivals ,Swag/giveaway events ,Arts & Crafts  ",,I dont remember if this was real or a dream but pj party with arts and crafts,Upbe cozy at coffee house,"Free food/snacks,Swag (shirts, water bottles, etc.) ,Learning new things ",,"American comfort (burgers, BBQ, wings),Mexican/Latin (tacos, burritos, empanadas),Italian (pasta, pizza, gelato),Asian (Chinese, Japanese, Korean, Thai, etc.),Mediterranean/Middle Eastern (Greek, Turkish, Lebanese),Indian/South Asian,African/Caribbean,Desserts/sweets focused",,Prestis ,0.0,15.0,0.0,0.0,15.0,Yes,,"Weekday evening (after 6pm) ,Friday evenings,Saturday afternoons ,Saturday evenings ,Sunday evenings ","Large (80-150 people) ,Medium (30-80 people),Small (<20 people)",Either is fine,"Didn’t hear about it,Bad timing,Too crowded,Event cost,Didn’t interest me",,"Wednesday ,Friday ,Saturday ,Sunday","Morning (8am–12pm) ,Evening (4pm–8pm) ",Yes,I get busier and less likely to go to events but ones that are more just come in and get foodstuff im still willing to go to,Two weeks or more,"Email,Social media ,Posters/flyers ,Friends",,Emails maybe but its pretty even,Senior,Chemistry,Pittsburgh PA,Eastern European food,Crafts like crochet and knitting ,Itd be nice to have something around but maybe not on easter,"Food and market experiences (West Side Market, Little Italy, AsiaTown),Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park)",,Yes,,No,,Events that arent strictly socialization but allow you to connect with people like activities,,,S,S,9.5,Love hoodies and tshirts anything cozy is always great,Passive,7.0,Popup giveaways like the hoodies etc dont feel fair to me for people who have mobility issues and cant get to line as fast as everyone else Im not sure what the answer to that is but I feel like it could be improved,Hatch Alarm Clock,Just keep the free stuff coming,0.025,QID52,1910.0
100,"Food Truck Festival,T-shirt or swag giveaways,UPBakery or other pop-up cafes (e.g., Matcha Pop-up),Off-campus trips (e.g., Topgolf, NBA/Cavs game, Columbus trip),UPBeat Spring Concert,Spring Comedian at Severance Hall,Drone Show ,Thwing Tuesday,Club collaborations (Mahjong, Quidditch, Learn to Be, etc.) ","Food Festivals ,Swag/giveaway events ,Pop-up cafes (e.g., bakery, matcha) ",,Food festival,,"Free food/snacks,Swag (shirts, water bottles, etc.) ,Socializing/meeting new people ",,"American comfort (burgers, BBQ, wings),Mexican/Latin (tacos, burritos, empanadas),Italian (pasta, pizza, gelato),Asian (Chinese, Japanese, Korean, Thai, etc.)",,Mia Bella Restaurant Tacologist Prestis Bakery Sweet Spot,10.0,0.0,0.0,0.0,0.0,Yes,,"Weekday lunchtime (12–2pm),Friday evenings,Sunday evenings ","Large (80-150 people) ,Medium (30-80 people),Small (<20 people)",Either is fine,"Bad timing,Too crowded,Required registration,Didn’t interest me,Travel time",,"Monday,Tuesday ,Wednesday ,Thursday ,Friday ","Afternoon (12pm–4pm) ,Evening (4pm–8pm) ",Yes,I would attend less events and wouldnt be willing to attend one ,A week,"Email,Social media ,Posters/flyers ,Friends",,Email,Sophomore,Biochemistry,Dallas TX,Korean food ,Going to classical music concerts,Korean Seolal,"Sports games (Guardians, Cavs, Browns, Monsters),Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Museums and cultural centers (Cleveland Museum of Art, Rock Hall, Natural History Museum),Food and market experiences (West Side Market, Little Italy, AsiaTown),Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park)",,Yes,,No,,,Other:,,M,M,9.0,Echo bag Sticker for phone case Key rings,Passive,8.0,,Air Fryer,,0.1,"QID27,QID44,QID59,QID9",1680.0
